id;year;clmhrs;prjhrs;;AE;AP;INP;LB;NM;OS;PD;PH
95;2022;162;47;;53;154;40;1758;84;1677;2068;4185
96;2022;160;44;;56;168;59;1757;84;2096;3132;3878
97;2022;141;55;;55;149;49;1769;81;1913;3104;4556
98;2022;160;41;;53;173;42;1651;66;1969;1655;4761
99;2022;149;46;;66;143;40;1767;127;1306;3127;4275
100;2022;157;29;;42;138;81;1987;79;1219;3061;4714
101;2022;162;41;;48;140;42;2089;90;2113;2423;4095
102;2022;146;50;;58;136;79;1742;149;2119;2866;4226
103;2022;153;47;;46;131;49;2083;51;1813;2782;4298
104;2022;156;11;;46;150;70;1673;124;1699;2652;3718
105;2022;137;29;;52;133;76;2097;62;1913;1737;3968
106;2022;137;18;;69;154;57;1878;124;1699;2211;3803
107;2022;136;32;;58;132;53;2067;82;1802;2848;3882
108;2022;136;30;;59;153;62;1826;132;2097;1338;4245
109;2022;143;45;;64;132;54;2083;128;1780;1801;3641
110;2022;158;25;;50;158;77;1709;126;1282;2642;4574
111;2022;143;11;;64;147;47;1875;55;2002;2953;3806
112;2022;149;13;;43;179;47;1902;86;1911;1411;4308
113;2022;166;21;;43;162;69;1966;98;2291;2264;4593
114;2022;144;17;;47;167;48;1896;92;1930;2040;3861
115;2022;143;44;;44;163;51;2043;64;1541;1421;4730
116;2022;155;34;;40;173;63;2047;122;1862;2169;4063
117;2022;163;47;;56;177;69;1973;52;1654;2247;4375
118;2022;152;34;;52;151;45;1749;143;1418;2075;4528
119;2022;164;32;;69;137;42;2014;141;2158;1928;4339
120;2022;162;19;;66;171;51;1948;77;1562;2231;4645
121;2022;153;21;;47;166;44;1725;140;1732;2392;4383
122;2022;160;15;;48;150;47;1734;121;1607;2664;3682
123;2022;137;39;;66;135;79;1755;65;1996;2619;4534
124;2022;143;18;;40;158;77;1915;140;1242;1636;3669
125;2022;141;42;;70;136;67;2098;77;1889;1893;3689
126;2022;166;53;;40;177;53;1689;62;1870;2206;4610
127;2022;168;20;;67;178;55;1778;111;1316;2222;4420
128;2022;141;38;;40;139;75;1731;132;2003;2653;4512
129;2022;138;50;;42;178;64;1669;123;2258;1424;3987
130;2022;155;44;;64;158;66;1856;50;1957;2777;4676
131;2022;158;24;;48;164;62;1924;112;1822;1238;4187
132;2022;146;54;;61;151;83;1831;99;2011;2797;4712
133;2022;158;55;;68;150;80;1724;60;1325;1585;4051
134;2022;145;14;;61;165;72;1973;89;2186;2066;3695
135;2022;163;11;;47;140;42;1882;107;2221;2213;4040
136;2022;148;11;;44;142;67;1990;56;1929;2056;3977
137;2022;157;47;;43;149;58;2005;58;1872;2313;4551
138;2022;152;30;;65;140;67;2009;86;2283;3106;3622
139;2022;152;21;;65;143;43;1695;84;1405;2216;4681
140;2022;137;49;;63;135;83;1716;87;1341;1213;4726
141;2022;155;52;;53;135;44;1981;53;1543;2239;3667
142;2022;139;35;;64;152;59;2050;123;2173;2709;3717
143;2022;168;20;;53;167;72;1868;102;1840;1589;4311
144;2022;147;18;;49;162;68;1993;66;1639;1985;4769
145;2022;157;55;;63;135;52;1688;84;1497;2069;4441
146;2022;149;35;;46;165;71;1936;145;2166;2460;4311
147;2022;148;44;;46;171;52;1919;108;1328;1675;3975
148;2022;155;42;;70;141;63;2007;96;1604;3021;4375
149;2022;165;47;;42;173;43;1706;59;1757;3072;3739
150;2022;150;16;;55;131;73;1926;82;1828;1325;3647
151;2022;159;29;;67;143;45;1895;116;1917;2831;4573
152;2022;142;11;;46;176;41;1895;149;1767;3157;4100
153;2022;166;28;;61;146;62;2100;114;1439;1223;4319
154;2022;149;21;;45;150;55;1958;92;1689;1731;4100
155;2022;152;38;;50;154;68;1944;61;1326;2003;4105
156;2022;155;17;;59;171;49;1864;135;2094;2615;3689
157;2022;139;11;;49;134;74;2031;62;2066;2853;4041
158;2022;136;41;;64;144;62;2043;101;1993;2915;3697
159;2022;157;22;;50;164;69;1832;136;1694;1476;3677
160;2022;158;28;;52;166;55;1826;61;1843;3005;3867
161;2022;142;19;;65;156;67;1850;68;1326;1269;4562
162;2022;135;32;;41;133;71;1761;145;2257;2694;4694
163;2022;145;47;;47;149;70;1791;82;2091;1313;3600
164;2022;153;20;;48;147;51;2032;56;2209;2453;4056
165;2022;158;24;;57;167;55;1730;58;1257;2360;4075
166;2022;149;15;;48;161;57;1741;87;1293;3070;3954
167;2022;138;34;;56;168;50;1860;126;2076;1865;4629
168;2022;155;14;;60;141;68;1880;51;1257;2438;3965
169;2022;162;40;;53;171;56;1818;76;1502;1267;3922
170;2022;164;15;;57;146;49;1750;98;1843;2335;4167
171;2022;153;50;;45;143;83;1952;82;1798;2778;4166
172;2022;166;53;;46;157;57;1845;140;1450;2407;3671
173;2022;165;25;;40;174;84;1863;91;1941;2238;3883
174;2022;155;16;;54;149;68;1798;85;2181;2010;4025
175;2022;148;33;;57;161;61;1793;106;1232;2587;4156
176;2022;152;16;;67;170;83;1955;66;2260;1445;4059
177;2022;144;50;;52;143;65;1892;118;1905;2635;4039
178;2022;165;42;;68;172;68;2032;108;2204;1907;4667
179;2022;160;38;;62;163;45;1776;51;1478;2146;3720
180;2022;143;16;;63;138;49;2012;56;1260;1364;3943
181;2022;168;36;;63;136;69;1994;95;1324;2844;4772
182;2022;156;15;;61;130;85;1756;67;1881;2816;4645
183;2022;137;30;;54;144;82;1699;141;1675;2727;4381
184;2022;140;40;;49;177;81;1762;87;1473;2863;3952
185;2022;168;38;;57;152;51;1888;77;2056;1443;4011
186;2022;165;47;;59;139;47;1963;66;1906;2870;3759
187;2022;155;39;;52;145;59;1952;100;2209;2081;4397
188;2022;161;29;;57;151;59;1736;149;1426;2567;3989
189;2022;161;14;;67;177;85;1754;119;1501;1248;4460
190;2022;148;34;;46;169;52;1893;95;2180;2323;4208
191;2022;162;55;;43;170;68;1915;66;2228;2948;4344
192;2022;162;17;;47;130;42;1844;129;1365;2335;4704
193;2022;152;18;;65;151;44;1863;64;2134;1969;3769
194;2022;161;34;;50;178;60;1931;85;1491;1454;4481
195;2022;144;36;;61;149;42;1681;71;1939;2024;3640
196;2022;137;25;;55;141;48;1757;121;1861;1221;3630
197;2022;163;47;;64;165;81;1760;77;2074;3137;4264
198;2022;167;22;;42;176;48;1912;71;1663;2917;4063
199;2022;156;53;;50;148;75;1795;80;2128;3000;4644
200;2022;166;35;;50;177;77;1906;58;1474;1245;4722
201;2022;159;39;;63;131;55;1992;58;1604;3012;3886
202;2022;162;30;;43;164;47;1836;85;1363;2162;4006
203;2022;154;51;;50;171;46;1913;52;1640;2501;3877
204;2022;148;31;;51;152;68;1839;144;1249;3077;4353
205;2022;158;22;;44;132;57;1719;70;1604;1836;4281
206;2022;138;22;;67;130;62;1758;118;1305;1649;4401
207;2022;154;21;;58;148;76;1746;126;1986;1204;4484
208;2022;153;21;;53;136;58;1918;112;1749;2737;3670
209;2022;141;20;;45;179;84;2059;147;1538;2892;4015
210;2022;163;40;;62;151;51;1687;137;1340;2142;4542
211;2022;151;14;;66;163;43;1809;140;2099;2751;4061
212;2022;138;21;;60;152;84;1835;87;1337;1317;4681
213;2022;162;30;;65;171;58;1930;109;2206;1589;3954
214;2022;135;24;;49;177;70;1953;99;2097;2246;3843
215;2022;138;43;;45;144;62;1787;76;1432;1250;4024
216;2022;155;35;;60;153;45;1935;86;2003;1588;4281
217;2022;161;22;;59;142;73;1887;124;1595;1641;4163
218;2022;137;35;;40;131;57;1872;98;1892;1466;4157
219;2022;168;29;;69;160;54;1658;74;1580;2988;3648
220;2022;147;52;;48;176;40;2038;60;2153;1905;3666
221;2022;140;38;;49;154;42;1879;111;1990;2555;4664
222;2022;161;13;;57;178;66;1743;143;1627;2383;4576
223;2022;144;28;;46;170;54;1925;59;1339;1708;3632
224;2022;136;36;;70;161;47;1685;93;1735;2020;4764
225;2022;155;50;;70;134;42;1718;67;1718;2445;3721
226;2022;156;18;;65;166;65;1723;102;1235;2082;4765
227;2022;165;41;;48;174;61;1849;58;1801;3172;4151
228;2022;160;23;;70;160;80;1958;57;2185;2191;4268
229;2022;160;48;;47;144;73;1850;141;1963;1232;4346
230;2022;143;43;;52;151;74;1982;120;1232;1749;3883
231;2022;139;14;;61;149;44;1706;74;1562;2062;4508
232;2022;139;52;;46;169;79;1936;93;1751;1882;3754
233;2022;145;19;;70;146;60;1963;111;1700;1386;3683
234;2022;151;28;;55;177;55;1931;67;1904;3195;4729
235;2022;136;16;;62;149;43;2001;110;1927;2247;4682
236;2022;141;25;;67;149;46;1871;78;2140;1610;3999
237;2022;140;31;;49;155;55;1985;102;1939;2566;4147
238;2022;152;43;;53;170;81;1705;133;2203;2534;4432
239;2022;161;40;;68;168;53;2090;97;1574;1406;3738
240;2022;145;52;;59;153;85;1779;65;1495;1911;4145
241;2022;140;29;;46;138;44;1866;110;2219;1618;4726
242;2022;148;32;;65;169;57;1816;123;2074;3078;3766
243;2022;141;13;;44;160;71;1739;91;1646;2411;4148
244;2022;162;12;;45;138;42;1859;136;2001;2277;4205
245;2022;165;37;;53;133;80;1922;116;1940;2722;4732
246;2022;163;34;;63;139;82;1941;138;2194;2158;4011
247;2022;167;42;;67;170;65;1950;52;1746;1841;3712
248;2022;152;34;;44;148;84;1934;57;1438;2157;3912
249;2022;145;40;;45;176;43;1985;82;1560;2242;3906
250;2022;146;12;;62;170;68;2000;148;2236;2559;3713
251;2022;163;13;;52;136;56;2096;106;1781;2831;3690
252;2022;147;24;;50;162;40;1833;149;1743;2528;3982
253;2022;151;38;;45;134;70;1668;82;1608;2479;4448
254;2022;153;32;;46;162;49;1687;103;2162;1894;3992
255;2022;140;40;;44;165;79;1794;110;1508;1434;3735
256;2022;155;25;;41;175;56;1961;58;1512;1283;3819
257;2022;164;15;;58;175;81;1650;136;1629;1837;4647
258;2022;137;47;;41;155;67;1902;100;1302;3100;3714
259;2022;159;24;;42;136;40;1970;114;1284;3119;3637
260;2022;143;54;;52;177;71;2097;145;1352;1781;4339
261;2022;158;25;;41;145;44;1689;79;2095;2202;4199
262;2022;135;55;;58;176;69;2072;68;1451;3104;4302
263;2022;142;34;;50;167;55;2031;87;1822;2566;4038
264;2022;139;22;;50;144;85;1820;62;1737;2466;4425
265;2022;157;33;;63;142;66;1887;72;1822;1294;3792
266;2022;149;15;;43;168;84;1842;141;1833;2938;3878
267;2022;146;53;;55;172;82;1710;61;1519;2981;3618
268;2022;145;48;;49;177;79;2088;126;1262;2174;4532
269;2022;154;51;;51;134;67;1817;137;1822;1588;3640
270;2022;168;44;;49;151;40;2015;148;2269;1480;4509
271;2022;145;13;;42;140;58;1850;81;1362;1642;3651
272;2022;137;24;;68;171;57;2083;53;1431;1347;4589
273;2022;167;38;;57;175;72;1831;126;1890;2337;4121
274;2022;158;16;;64;174;64;2058;80;2173;3149;4307
275;2022;147;37;;62;160;79;1944;97;1263;2599;4110
276;2022;167;52;;67;153;85;1741;85;1518;2347;4466
277;2022;141;23;;63;154;73;1759;80;1539;2807;3906
278;2022;153;14;;66;179;71;1670;65;2055;1841;4337
279;2022;167;31;;61;177;83;1873;94;1789;1901;3724
280;2022;158;26;;62;178;59;1710;138;1252;1241;4465
281;2022;164;49;;61;140;43;1672;98;1332;2401;4481
282;2022;151;40;;67;136;60;2038;145;2038;2618;3826
283;2022;163;14;;54;141;73;1665;109;1337;3166;4718
284;2022;149;52;;65;157;43;1802;69;1251;2030;4766
285;2022;160;46;;61;160;45;1923;137;1932;3009;3923
286;2022;157;42;;64;150;69;1800;113;1896;1293;3893
287;2022;136;19;;40;137;70;2009;73;1414;2645;4354
288;2022;155;53;;61;130;78;1697;126;1916;1315;3630
289;2022;152;29;;57;150;78;1767;142;1498;2024;3820
290;2022;164;52;;52;144;84;1969;97;2229;2953;4220
291;2022;156;13;;44;133;53;1892;63;1821;2672;3682
292;2022;135;46;;70;137;78;1651;114;1754;2703;4209
293;2022;152;43;;47;145;49;1726;111;1650;2058;4032
294;2022;157;24;;59;157;62;1838;99;1625;3010;3814
295;2022;137;20;;44;163;82;1905;128;1422;2477;4588
296;2022;135;29;;69;173;49;1878;146;2031;2749;4597
297;2022;141;42;;67;140;53;1846;75;1993;1586;4288
298;2022;149;33;;48;156;85;1743;56;1764;2260;4575
299;2022;145;40;;57;130;83;1954;79;2017;2209;4220
300;2022;166;32;;48;176;73;1979;70;1631;1344;3957
301;2022;150;31;;54;175;50;1796;101;2089;2984;4437
302;2022;136;52;;47;133;51;1833;147;2103;2907;4034
303;2022;163;44;;49;169;82;1755;62;1565;1220;4427
304;2022;150;55;;58;151;43;2024;142;2277;2396;4493
305;2022;162;19;;58;179;77;1831;132;2186;2123;3925
306;2022;142;35;;63;154;59;1716;83;1488;1761;3810
307;2022;136;17;;47;163;65;1729;61;1841;2990;4640
308;2022;146;41;;41;153;79;1801;104;2112;2646;4464
309;2022;143;20;;53;141;65;2014;73;2299;3072;4495
310;2022;163;33;;69;161;66;1849;80;2204;1775;3990
311;2022;153;21;;58;179;45;2081;56;1710;1507;4434
312;2022;149;18;;47;159;85;1713;73;2014;2634;3629
313;2022;164;36;;50;148;81;1959;110;2214;2740;3934
314;2022;138;53;;46;175;59;2075;147;1377;3113;4082
315;2022;157;20;;60;178;45;1809;97;1391;1582;4373
316;2022;159;23;;57;173;85;1945;85;1523;2465;4537
317;2022;156;41;;41;156;41;1837;72;1877;1407;4151
318;2022;162;45;;44;161;71;1859;126;2154;1652;4376
319;2022;151;44;;46;174;77;1971;66;2040;2273;4246
320;2022;141;30;;42;150;76;2041;66;1427;2445;3917
321;2022;159;43;;61;165;81;1951;126;1609;2844;3660
322;2022;145;50;;62;133;47;1864;50;1894;2050;3911
323;2022;155;20;;59;136;81;1903;52;1657;2175;4799
324;2022;142;44;;57;172;40;1990;61;2222;2264;3640
325;2022;167;41;;47;154;67;1826;91;1451;1446;4132
326;2022;146;37;;65;174;71;1840;69;1887;2508;4269
327;2022;144;25;;61;168;85;1701;148;2145;2606;3786
328;2022;151;14;;65;179;57;1770;107;1858;1463;3820
329;2022;142;19;;67;153;59;1808;67;2287;2616;3736
330;2022;154;13;;52;176;43;2042;73;1941;2442;4603
331;2022;157;27;;53;158;75;1731;62;1270;1327;3953
332;2022;159;14;;50;158;63;1988;83;1236;1408;4495
333;2022;142;19;;49;176;58;1988;90;1829;1359;4597
334;2022;151;51;;55;150;62;1771;50;2103;2677;3847
335;2022;142;51;;67;170;65;2089;127;1622;1624;3709
336;2022;143;34;;48;144;83;2085;95;1288;3031;4769
337;2022;153;38;;54;133;55;1828;125;1780;3124;4108
338;2022;155;13;;58;141;78;1703;108;1662;1401;4302
339;2022;154;39;;40;158;55;1796;72;1784;2730;4424
340;2022;163;36;;63;169;57;2025;136;1414;2170;4763
341;2022;164;44;;44;176;57;2099;81;1678;1307;3656
342;2022;139;11;;47;164;55;1705;91;2154;2912;3714
343;2022;149;18;;50;137;40;1948;144;1845;2182;4746
344;2022;168;42;;43;141;69;2075;64;1711;1372;4765
345;2022;151;40;;69;130;64;1905;54;1481;2438;4089
346;2022;154;27;;40;153;61;1700;119;2138;2613;4288
347;2022;158;35;;47;155;46;1772;70;1902;2582;4760
348;2022;159;33;;47;133;55;1976;89;1459;3001;3726
349;2022;141;14;;51;153;48;1883;107;2015;1911;3865
350;2022;164;35;;43;166;60;1657;74;1968;1374;3851
351;2022;147;44;;57;139;44;1979;67;2283;2139;3893
352;2022;168;55;;59;147;60;1823;129;1421;1277;4598
353;2022;150;20;;57;150;69;2007;134;2251;1403;3619
354;2022;143;20;;70;157;85;2048;83;2220;1496;4611
355;2022;160;37;;49;153;50;1799;58;2028;3003;4261
356;2022;163;40;;55;143;71;2080;125;1662;1396;3999
357;2022;144;40;;51;160;51;2039;85;1417;2330;3755
358;2022;164;21;;41;146;44;1713;102;1352;2982;3713
359;2022;135;20;;52;138;46;1853;144;1465;3090;4476
360;2022;157;24;;48;135;67;1678;120;1271;2364;4218
361;2022;157;51;;63;137;78;2023;134;1914;2073;4699
362;2022;138;51;;45;173;67;1721;114;1869;1411;3934
363;2022;158;22;;65;146;45;2012;103;2015;2433;4299
364;2022;139;55;;60;171;75;1924;79;1972;2594;4204
365;2022;143;47;;49;131;60;2087;121;1280;2836;4410
366;2022;150;30;;53;138;70;1773;79;1403;1372;4360
367;2022;140;50;;63;180;42;1771;140;1700;1976;4639
368;2022;149;50;;59;145;47;1919;66;2290;2972;3712
369;2022;163;25;;53;177;56;1830;136;1923;1754;4575
370;2022;153;40;;49;135;85;1878;134;1856;2394;4498
371;2022;136;34;;63;142;71;1793;129;1750;3140;4557
372;2022;143;20;;67;180;77;2070;114;1914;1565;4621
373;2022;136;13;;53;175;44;1845;87;1854;2728;3952
374;2022;162;18;;55;158;45;1730;95;2067;2673;3942
375;2022;162;30;;42;176;75;2095;137;1729;3141;4295
376;2022;167;16;;60;146;68;1983;72;2077;2687;4256
377;2022;144;16;;48;178;56;1789;55;1223;2327;4722
378;2022;144;50;;50;158;63;1784;140;2164;2398;4487
379;2022;135;52;;45;178;64;1960;67;1246;1692;3670
380;2022;143;28;;61;144;41;1950;137;1832;2124;3631
381;2022;162;32;;49;148;42;1693;148;1531;1521;3960
382;2022;149;50;;60;135;54;1890;56;2105;3165;3740
383;2022;149;34;;48;153;59;1840;93;1426;2511;4054
384;2022;146;55;;54;152;76;1731;131;1449;1980;4164
385;2022;152;55;;48;138;47;1918;119;2136;1664;4427
386;2022;164;54;;49;167;41;2028;136;2007;2221;3739
387;2022;150;15;;62;136;42;1747;139;1764;1397;3940
388;2022;148;15;;57;170;40;1711;82;1866;1226;3625
389;2022;140;32;;59;146;84;1735;55;1497;2751;4380
390;2022;151;27;;42;173;57;1942;94;1531;2843;4676
391;2022;146;43;;62;159;41;2020;87;1956;2952;4155
392;2022;155;24;;69;168;66;1873;104;2027;1357;4296
393;2022;157;40;;62;163;85;2037;72;1920;3169;4691
394;2022;142;39;;44;178;64;1901;128;1741;2089;4420
395;2022;145;24;;45;134;60;1929;122;1836;2691;4622
396;2022;141;32;;44;166;55;1898;110;1978;2348;4468
397;2022;160;14;;45;132;53;1966;128;2188;2922;4289
398;2022;158;37;;58;134;56;1750;104;2264;2153;4120
399;2022;158;35;;49;133;61;1923;127;1548;1336;3929
400;2022;154;50;;60;133;50;2088;115;1979;2562;4424
401;2022;145;54;;68;131;62;1886;61;2047;1993;4429
402;2022;135;45;;50;175;44;1829;115;1502;2958;3769
403;2022;142;43;;59;175;42;1910;88;1662;2254;3920
404;2022;138;27;;48;160;83;1985;118;1974;1790;4250
405;2022;150;40;;63;151;46;2006;121;1876;2778;4175
406;2022;150;45;;67;136;60;2037;115;2177;1968;4525
407;2022;142;24;;70;177;60;1790;140;1785;2817;4785
408;2022;150;52;;57;135;47;1958;51;1664;1411;4250
409;2022;150;38;;64;147;82;1980;84;1359;1331;3667
410;2022;162;12;;48;180;45;1993;149;1920;3060;4774
411;2022;155;46;;41;153;46;1816;138;1712;1417;3665
412;2022;147;45;;52;140;82;1828;122;1770;1256;3876
413;2022;156;43;;64;176;45;1869;109;1657;1268;4263
414;2022;156;36;;60;152;44;1856;150;1852;2150;4659
415;2022;157;14;;41;136;68;1965;68;1487;1358;3936
416;2022;151;29;;42;151;47;1751;60;2264;2157;3900
417;2022;148;20;;70;168;44;1670;119;1706;2630;3814
418;2022;157;39;;61;166;59;2096;94;1809;1811;3889
419;2022;164;30;;57;160;41;1929;144;1254;2714;3612
420;2022;165;29;;59;176;68;2032;145;1236;2789;3964
421;2022;153;28;;54;168;56;1678;64;1294;2177;3857
422;2022;144;54;;53;161;61;1730;134;1423;2440;3716
423;2022;144;22;;54;139;67;1988;50;1856;1227;3773
424;2022;151;32;;43;151;52;1760;98;1885;2733;4000
425;2022;144;21;;52;159;72;1879;136;1414;1247;4426
426;2022;155;19;;62;162;76;1911;100;1790;1761;4038
427;2022;139;32;;51;163;66;2092;69;2154;1587;4153
428;2022;164;10;;40;149;44;1857;78;1883;1455;4642
429;2022;157;37;;56;140;50;1721;142;1246;2708;4065
430;2022;156;47;;43;141;44;1795;83;1809;2443;3607
431;2022;155;38;;50;163;47;1720;65;2253;2757;4630
432;2022;151;14;;51;136;52;1994;134;2163;2512;4043
433;2022;161;11;;58;174;63;1964;112;1470;2444;4529
434;2022;136;17;;68;154;60;2034;92;1896;1471;4309
435;2022;153;37;;58;140;80;1738;74;1890;2199;4176
436;2022;151;14;;52;163;68;2000;79;1445;2126;3984
437;2022;145;40;;67;136;40;1926;134;1210;1942;3809
438;2022;152;32;;47;147;43;1742;145;1404;2942;4326
439;2022;154;28;;50;176;85;1896;141;1803;3145;3879
440;2022;139;35;;59;174;55;1839;110;1770;1678;4734
441;2022;135;45;;53;157;74;1839;126;1697;1261;4270
442;2022;141;30;;59;172;52;1697;139;1892;1991;4265
443;2022;139;27;;57;145;44;1657;147;1619;3090;4002
444;2022;154;43;;52;133;62;1820;113;1985;2934;4330
445;2022;148;46;;58;163;71;1695;101;1652;2297;3731
446;2022;168;46;;45;162;55;1653;111;2085;1498;4762
447;2022;142;30;;44;171;41;2089;115;1749;2815;4085
448;2022;165;15;;58;168;48;2021;58;2225;1498;4061
449;2022;160;55;;60;153;48;2083;95;1740;3192;3755
450;2022;163;24;;47;179;71;1672;64;1851;1808;4017
451;2022;142;18;;62;130;45;1685;147;1805;2165;4290
452;2022;136;50;;64;134;52;1865;67;1750;2390;4650
453;2022;161;21;;47;142;85;1693;70;1360;1331;4211
454;2022;147;10;;56;137;71;2047;99;1256;2692;4129
455;2022;140;42;;65;178;78;1828;101;1410;2212;4394
456;2022;165;22;;41;152;69;1702;109;1709;1219;4211
457;2022;164;52;;53;153;75;1720;57;1299;2396;3656
458;2022;137;45;;47;169;58;1783;77;1680;2391;3644
459;2022;157;27;;48;132;63;1715;139;1339;2247;4330
460;2022;155;47;;48;172;76;1818;80;1823;2108;3996
461;2022;139;10;;52;131;54;1768;51;1386;1328;4576
462;2022;168;21;;61;134;59;1931;84;1723;2637;3724
463;2022;164;54;;67;140;60;1752;63;1445;1729;4532
